ID;Work Item Type;Title;Test Step;Step Action;Step Expected;Area Path;Assigned To;State
"125444";"Test Case";"Tanuló átvétel";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"115088";"Shared Steps";;"1";"Login (képző szerv)";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos";;;
;;;"1_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút";;;
;;;"1_3";"""Kategóriás"" gomb megnyomása";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"1_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.";;;
;;;"1_5";"Hitelesítő kód megadása és belépés a rendszerbe";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"2";"Az Tanuló/ Tanuló menüpontra kattintás a főmenüben.
";"A rendszer a Tanuló oldalra navigál (Iskola/Tanulo#!Tanulok). Az oldalon 
megjelenik a szűrő blokk, valamint a szűrési feltételeknek megfelelő 
találati lista.

A találati lista alatt megjelenik az ""Excel export"" és ""Tanuló átvétel"" gombok.
";;;
;;;"3";"Tanuló átvételének kezdeményezése a ""Tanuló átvétel"" gombra kattintva.";"A kattintást követően a rendszer a Tanuló átvétel (Iskola/Tanulo/TanuloAtvetel) oldalra navigál ahol a megjelenő Tanuló átvétel blokkban az alábbi mezők kiöltése lehetséges:
- Tanuló azonosító*
- Képzési igazolás vonalkódja*

A mezők alatt megjelenik a ""Keresés"" gomb.

A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.";;;
;;;"4";"Átveendő tanuló keresése a mezők kitöltésével és a ""Keresés"" gombra kattintva.";"A kattintást követően hiba nélkül kitöltött mezők esetén megjelenik az adott tanuló képzési igazolásának az adatai melyek a következőek:

Képző szerv adatai:
- Azonosító
- Név
- Cím

Tanuló adatai:
- Név
- Születési név 
- Születési hely, idő
- Anyja neve:
- Lakcím
- Értesítési cím

Képzés adatai:
- Tanfolyam azonosító
- Tanfolyam kategória
- Tanfolyam kezdete
- Tanuló azonosító
- Vezetési karton azonosító
- Korlátozások
- Első közlekedési alapismeretek elméleti vizsga időpontja
- Sikeres közlekedési alapismeretek elméleti vizsga időpontja
- Sikertelen forgalmi gyakorlati vizsga időpontja

Az adott blokkokban megjelennek a mezők, tartalmazzák a korábban kitöltött adatokat. (Lehetnek üres mezők).

A blokkok alatt megjelenik a ""Tanuló átvétel"" gomb.
";;;
;;;"5";"Tanuló átvétele a ""Tanuló átvétel"" gombra kattintva.";"A kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet és a rendszer visszanavigál: a Tanuló (Iskola/Tanulo#!Tanulok) oldalra ahol a fentiekben átvett tanuló már megjelenik a képző szervhez rögzített tanulók listájában.
";;;
"125445";"Test Case";"Tanulói iratok fogadása (elfogadás, elutasítás) - KAV-002";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Szombati Zoltán (Multicontact) <RCINET\szombatiz>";"Design"
;;;"1";"Előfeltételek:
- Kategóriás ügyintéző rögzítése
- Tanulói jelentkezés (KAÜ) / Képzőszervi jelentkeztetés
";"
";;;
"115779";"Shared Steps";;"2";"Login (kategóriás ügyintéző)";;;;
;;;"2_1";"A https://tesztauth.pallasz.hu/ oldal megnyitása (környezetfüggő URL)
";"Megnyílik az ""Központi bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"2_2";"Bejelentkezés megfelelő jogosultságú felhasználóval.
A kategóriás ügyintéző regisztrációját vezető ügyintéző szerepkörű felhasználó 
végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról 
e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet 
bejelentkezni a rendszerbe kategóriás ügyintézőként.";"Megnyílik a https://tesztkatvizs.pallasz.hu/ugyintezo (Kategóriás) oldal.
Bejelentkezést követően a szerepkörnek (kategóriás ügyintéző) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"3";"Ügykezelés / Tanulói iratok fogadása menüpont kiválasztása (két helyről is kiválasztható: nyitóoldali blokk és a legördülő főmenü)";"Megnyílik az Ugyintezo/Ugy/UgyAtemeles#!Elfogadas oldal (Tanulói iratok fogadása).
Két fül (tab) található az oldalon, Elfogadás és Elutasítás, mindkettő aktív, kattintható.

Az Elfogadás fülön az alábbi üzenet jelenik meg:
""Formailag helyes dokumentumok érkeztetése""
Az oldalon megjelenő blokk az alábbi mezőket tartalmazza:
- Típus: alapértelmezett értéke a Tanulói adatlap, ezen kívül választható a Vezetői engedély nyilatkozat.
- Jelentkezési adatlap vonalkódja* / Vezetői engedély nyilatkozat vonalkódja*: a Típus függvényében változik.
A blokk jobb alsó részén található az Átemelés gomb, amely aktív, kattintható.
 
Az Elutasítás fülön az alábbi üzenet jelenik meg:
""Formailag hibás/hiányos dokumentumok érkeztetése""
Az oldalon megjelenő blokk az alábbi mezőket tartalmazza:
- Típus: alapértelmezett értéke a Tanulói adatlap, ezen kívül választható a Vezetői engedély nyilatkozat.
- Jelentkezési adatlap vonalkódja* / Vezetői engedély nyilatkozat vonalkódja*: a Típus függvényében változik.
- Elutasítás oka*: rögzített értékkészletből választható egy érték.  
A blokk jobb alsó részén található a Megtagadás gomb, amely aktív, kattintható.
";;;
;;;"4";"Az Elfogadás blokk mezőinek kitöltése és az Átemelés gombra kattintás
";"A mezők kitölthetők, módosíthatók, hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
A kötelező mezők kitöltését a rendszer kikényszeríti.
Nem létező Tanulói adatlap / Vezetői engedély nyilatkozat esetén felugró ablakban az alábbi figyelmeztető üzenet jelenik meg:
""Nem létezik ilyen tanulói adatlap!"" / ""Nem létezik ilyen vezetői engedély nyilatkozat!""

Az Átemelés gombra kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet.
Amennyiben korábban már be lettek küldve az adatok, a rendszer egy felugró ablakban jelzi.

A tanulói adatlap beküldését követően a képző szerv számára megjelenik az adatlap érkeztetéséről szóló üzenet (a tanuló adatlapján).
A vezetői engedély nyilatkozat beküldését követően a képző szerv megtekintheti a tanuló adatlapján az érkeztetés állapotát és időpontját.
";;;
;;;"5";"Az Elutasítás blokk mezőinek kitöltése és a Megtagadás gombra kattintás
";"A mezők kitölthetők, módosíthatók, hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
A kötelező mezők kitöltését a rendszer kikényszeríti.
Nem létező Tanulói adatlap / Vezetői engedély nyilatkozat esetén felugró ablakban az alábbi figyelmeztető üzenet jelenik meg:
""Nem létezik ilyen tanulói adatlap!"" / ""Nem létezik ilyen vezetői engedély nyilatkozat!""
 A Megtagadás gombra kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet.";;;
"125446";"Test Case";"Előügy kezelése";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Szombati Zoltán (Multicontact) <RCINET\szombatiz>";"Design"
;;;"1";"Előfeltételek:
- Kategóriás ügyintéző rögzítése
- Tanulói jelentkezés (KAÜ) / Képzőszervi jelentkeztetés";"
";;;
"115779";"Shared Steps";;"2";"Login (kategóriás ügyintéző)";;;;
;;;"2_1";"A https://tesztauth.pallasz.hu/ oldal megnyitása (környezetfüggő URL)
";"Megnyílik az ""Központi bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"2_2";"Bejelentkezés megfelelő jogosultságú felhasználóval.
A kategóriás ügyintéző regisztrációját vezető ügyintéző szerepkörű felhasználó 
végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról 
e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet 
bejelentkezni a rendszerbe kategóriás ügyintézőként.";"Megnyílik a https://tesztkatvizs.pallasz.hu/ugyintezo (Kategóriás) oldal.
Bejelentkezést követően a szerepkörnek (kategóriás ügyintéző) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"3";"Ügykezelés / Előügy menüpont kiválasztása (két helyről 
is kiválasztható: nyitóoldali blokk és a legördülő főmenü)";"Megnyílik az előügy oldal, amelyen található egy szűrő blokk és alatta egy találati lista.
A szűrő blokk az alábbi mezőket tartalmazza:
- Teljes név
- Vezetéknév kezdőbetűje
- Tanuló azonosító
- Állapot
A Részletes szűrés feliratra kattintva további szempontok szerint van lehetőség szűrni:
- Anyja neve
- Születési hely
- Születési idő
- Kategória
- Képzés
A szűrő blokk tartalmaz egy Szűrő feltételek törlése és Szűrés gombot.
";;;
;;;"4";"Szűrés gomb megnyomása
";"A szűrési feltételeknek megfelelő elemek megjelennek a találati listában.
";;;
;;;"5";"Ellenőrzés gomb megnyomása (a találati lista sorainak utolsó oszlopában található három vízszintes vonal)
";"Megnyílik az Előügy / Ellenőrzés oldal.

A jobb felső részen látható a Hátralévő idő, melynek kezdeti értéke 5 perc, az oldal megnyitásakor elindul a visszaszámláló.

Az oldalon található az Előügy adatok blokk, amelyre kattintva megjelennek az alábbi mezők, amelyek nem módosíthatók, csak olvashatók:
- Azonosító
- Név
- Kategória
- Képzés

Található az oldalon egy folyamatjelző, az 1-es pont (Személyes adatok és okmányok) aktív, a többi nem választható ki.

A Személyes adatok blokk az alábbi mezőket tartalmazza, amelyek nem módosíthatók, csak olvashatók:
- Név
- Anyja neve
- Születési név
- Születési hely, idő
A blokkban található a Kiválasztva gomb.

Az oldalon lefelé haladva az alábbi blokkok találhatóak:
Összerendelési Nyilvántartás alapú személyes adatok adatellenőrzés
VEN alapú személyes adatok ellenőrzés
Személyi okmány ellenőrzés

Az oldal alsó részén található a Lekérdezett adatok frissítése és a Jóváhagyom gomb. 
";;;
;;;"6";"Jóváhagyom gomb megnyomása
";"A folyamatjelző 2-es pontja (Eltiltások) aktívvá válik, az oldalon az alábbi blokkok találhatóak:
Tanulói nyilatkozat
Eltiltás ellenőrzés

Az oldal alsó részén található a Lekérdezett adatok frissítése és a Jóváhagyom gomb.";;;
;;;"7";"Jóváhagyom gomb megnyomása";"A folyamatjelző 3-as pontja (Vezetői engedély) aktívvá válik, az oldalon található a Vezetői engedély ellenőrzése blokk.

Az oldal alsó részén található a Lekérdezett adatok frissítése és a Jóváhagyom gomb.";;;
;;;"8";"Jóváhagyom gomb megnyomása";"A folyamatjelző 4-as pontja (Eü alkalmasság) aktívvá válik, az oldalon az alábbi blokkok találhatóak:
Tanuló ügyéhez szükséges egészségi alkalmassági csoport
Elektronikus egészségi alkalmassági igazolás
Papír alapú egészségi alkalmassági igazolás
Vezetői engedély alapú egészségi alkalmassági igazolás 

Az oldal alsó részén található gombok:
Vissza
Lekérdezett adatok frissítése
Nem igazolt
Jóváhagyom ";;;
;;;"9";"Nem igazolt gomb megnyomása
";"A folyamatjelző 6-os pontja (Személytörzs összerendelés) aktívvá válik, az oldalon található az Alapadatok blokk, amely az alábbi mezőket tartalmazza:
- Teljes név: nem módosítható
- Születési név: nem módosítható
- Anyja neve: nem módosítható
- Ellenőrzött: nem módosítható
- Születési hely: nem módosítható
- Születési idő: nem módosítható
- Egyezések keresése: lenyíló lista, rögzített értékkészletből választható egy érték
A blokk jobb alsó részén található a Keresés gomb. 

Az Alapadatok blokk alatt megjelenik egy találati lista, az oldal alsó részén található az Új személytörzs gomb.";;;
;;;"10";"Új személytörzs gomb megnyomása
";"Felugró ablakban megjelenik egy megerősítő üzenet:
""Biztosan új személytörzset kíván létrehozni?"".
Az ablakban az Igen és Nem gombok közül van lehetőség választani.
";;;
;;;"11";"Új személytörzs megerősítése (az Igen gomb megnyomása)
";"Az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet.
Az oldalon látható az Előügyben szereplő adatok és a Személytörzsben szereplő adatok táblázatos formában, valamint a táblázat alatt az Ügy indítása gomb.
";;;
;;;"12";"Ügy indítása gomb megnyomása
";"Felugró ablakban megjelenik a ""Biztosan végrehajtja a műveletet?"" üzenet, és két gomb: Igen/Nem.";;;
;;;"13";"Ügy indítás megerősítése (az Igen gomb megnyomása)
";"Az igen gomb hatására a rendszer betölti az Összesítő oldalt, látható az Előfeltétel kiértékelés, valamint az Ügyhöz lépés és a Befejezés gombok.
";;;
;;;"14";"Befejezés gomb megnyomása
";"A rendszer az Előügy oldalra navigál, ahol az elindított ügy már nem jelenik meg az előügyek között.";;;
"125447";"Test Case";"Karton kezelés - SZK";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Endrész Gábor (Multicontact) <RCINET\endreszg>";"Design"
"115088";"Shared Steps";;"1";"Login (képző szerv)";;;;
;;;"1_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
Vizsgabiztos";;;
;;;"1_2";"Képző szervek (Autósiskolák) bejelentkező oldal megnyitása (Képző szervek (Autósiskolák) gomb megnyomása)";"Megnyílik a beleptetes/Kepzoszervek oldal, amelyen az alábbi lehetőségek közül van lehetőség választani:
- Kategóriás
- Légügy
- Szaktanfolyami
- Utánképzés
- Vasút";;;
;;;"1_3";"""Kategóriás"" gomb megnyomása";"Megnyílik az ""Iskolai bejelentkezés"" oldal, felhasználónév és jelszó megadható.";;;
;;;"1_4";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/Kategorias címre (környezetfüggő URL).
A képző szerv regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe képző szervként.";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.";;;
;;;"1_5";"Hitelesítő kód megadása és belépés a rendszerbe";"Megnyílik a https://tesztkvar.pallasz.hu/iskola (Iskola) oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (képző szerv) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.";;;
;;;"2";"Bejelentkezést követően a Tanuló/Karton kezelés menüpontot kell választani. 
";"Az rendszer a Karton kezelés oldalra navigál (Iskola/Kartonhitelesites#!VezetesiKarton), amelyen a felső blokkban megjelenik a szűrő, alatta pedig a szűrési feltételeknek megfelelő találati lista. 
A találati lista alapértelmezetten üres.
";;;
;;;"3";"Keresés indítása keresési feltételek megadása nélkül a Szűrés gomb megnyomásával.
";"A rendszer az oldal újratöltése nélkül kilistázza a rendszerben, az adott ügyintéző által elérhető kartonokat. 
";;;
;;;"4";"Kilistázott kartonok találati listában történő megjelenítésének ellenőrzése (adatok).
";"A kartonok esetében megjelenik a teljes név, a tanulói azonosító, karton azonosító, karton helye, képzés és a létrehozva (létrehozás dátuma). Az egyes oszlopokban a kitöltött adatok megjelennek. 
";;;
;;;"5";"Karton részletes adatainak megjelenítése a Részletek gombra kattintva az adott rekord jobb oldalán található részletek gombra kattintva (három vízszintes gomb).
";"A rendszer a Karton részletei oldalra navigál . Az oldalon a Karton adatok fül van kiválasztva, mellette megjelenik a Vezetési órák fül. Az oldalon nem szerkeszthető állapotban megjelennek az alábbi űrlapelemek, amelyek tartalmazzák a korábban rögzített adatokat:
Karton adatok
-Karton azonosító
-Karton hitelesítés
-Kiadás oka
-Korábbi karton azonosító
-Következő karton azonosító
-Szakoktató neve
Tanulói adatok
-Tanuló azonosító
-Teljes név
-Születési hely, idő
-Képzés
-Telefonszám
-E-mail
-Értesítési cím
-EÜ korlátozás
További adatok
-Karton helye
-További oktatók
-Visszavétel

Az oldal tetején jobb oldalon megjelenik a Karton nyilvántartó, valamint a SZUM Vezetési órák gomb (kék színnel).
Az oldal alján bal oldalon megjelenik a Csere/Pótlás, jobb oldalon pedig a Mentés gomb.
";;;
;;;"6";"Karton nyilvántartó gomb megnyomása
";"Az oldal megjeleníti a Karton nyilvántartó modal ablakot. Az ablakban az aktuális karton helye, Átadás időpontja, és a visszavétel időpontja jelenik meg. A karton helye és az átadás időpontja kitöltött, míg a visszavétel időpontja csak abban az esetben van kitöltve, ha volt ilyen folyamatlépés rögzítve. 
";;;
;;;"7";"Bezárás gombra kattintás a Karton nyilvántartó modal ablakban.
";"A Karton nyilvántartó modal ablak bezáródik. 
";;;
;;;"8";"SZUM Vezetési órák gombra kattintás
";"A rendszer megjeleníti a Vezetési órák összesítése című modal ablakot. Az ablakban az alábbi információ jelenik meg: Az alábbi összesítés a tanulóhoz tartozó összes vezetési kartonon lévő vezetési órák adatait tartalmazza. 
Az információs sáv alatt egy táblázatban az összes vezetési óra jelenik meg az alábbi bontásban:
Vezetési órák, Vezetett perc, Vezetett km. 
A táblázat alatt az Összes vezetett km jelenik meg. 
";;;
;;;"9";"Csere/Pótlás gomb megnyomása";"A kattintást követően az alábbi figyelmeztető üzenet jelenik meg:
""Amennyiben van olyan adat amit még nem mentett, azt a művelet végrehajtásával elveszítheti! Biztosan végrehajtja a műveletet?""

A ""Nem"" lehetőséget választva folytatható a Karton részleteinek megtekintése.

Az ""Igen"" lehetőséget választva megjelenik a Karton csere/pótlás ablak amelyben az alábbi mezők jelennek meg a karton megfelelő adataival:
- Kiadás oka (rádiógomb, értékei: ""Csere"", ""Pótlás""
- Kategória
- Képzés
- Szakoktató (a legördülő lista értékkészlete a mező felett található rádiógomb aktív értékétől függ, amennyiben ""Hozzárendelt oktatók"" érték aktív akkor csak a hozzárendelt szakoktatók nevei jelennek meg, amennyiben a ""Minden képző szervi oktató"" érték aktív akkor a képző szervhez rögzített összes szakoktató megjelenik a listában.
- Szakoktató*
- Korábbi karton azonosító*

A mezők közül egyedül a Kiadás oka és a Szakoktató mező szerkeszthetőek.
A kötelező mezők kiöltését a rendszer kikényszeríti. A mezők kitölthetők. hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
";;;
;;;"10";"Csere/Pótlás mentése a ""Mentés"" gombra kattintva.
";"A kattintást követően amennyiben a kiadás okaként a csere lehetőséget választottuk és a karton már korábban kiadásra került a szakoktatóhoz a következő figyelmeztető üzenet jelenik meg:
""Kiadott karton esetén a csere nem lehetséges!""

Amennyiben nem volt még a karton korábban kiadva vagy a pótlás lehetőséget választjuk a kiadás okaként a kattintás után a Karton csere/pótlás ablak bezárul és a Karton részletei oldalon már a frissített adatok jelennek meg a megfelelő helyen és minőségben.
";;;
;;;"11";"Vezetési karton átadása az Kiadás gomb megnyomásával";"A kattintást követően az alábbi figyelmeztető üzenet jelenik meg:
""Biztosan kiadásra kerüljön a(z) XY (szakoktató azonosító száma) szakoktatónak a karton?""

A ""Nem"" gombra kattintva tovább folytatható a karton szerkesztése.

Az ""Igen"" gombra kattintva a ""Kiadás"" gomb helyett a ""Visszavétel"" gomb jelenik meg. A vezetési kartonra innentől kezdve a kijelölt szakoktató a megfelelő felületen vezetési órákat tud rögzíteni.";;;
;;;"12";"Vezetési karton visszavétele a Visszavétel gomb megnyomásával";"A kattintást követően az alábbi figyelmeztető üzenet jelenik meg:
""Biztosan visszavételre kerüljön a(z) XY (szakoktató azonosító száma) szakoktatótól a karton?""

A ""Nem"" gombra kattintva tovább folytatható a karton szerkesztése.

Az ""Igen"" gombra kattintva a ""Visszavétel"" gomb helyett a ""Kiadás"" gomb jelenik meg. A vezetési kartonra innentől kezdve a kijelölt szakoktató nem tud vezetési órákat rögzíteni. Illetve ebben az esetben nem lehet további oktatókat hozzáadni a kartonhoz.
";;;
;;;"13";"További oktatók hozzáadása További oktatók mező jobb szélén található ""+"" ikonra kattinva.";"A kattintást követően megnyílik a További oktató hozzáadása ablak, amelyben megadhatók az alábbi adatok:
- Szakoktató neve*

A legördülő lista értékei a képző szervhez rendelt szakoktatókból állnak.
 
A ""+ További oktató hozzáadása"" gombra kattintva a felvett szakoktató megjelenik a További oktató mező értékei között, az adott szakoktató melett található ""X"" ikon megnyomásával az adott korlátozás eltávolítható a listából.

A további oktató hozzáadása csak szakoktatónál lévő karton esetében lehetséges.
";;;
;;;"14";"SZUM Vezetési órák gombra kattintás
";"A rendszer megjeleníti a Vezetési órák összesítése című modal ablakot. Az ablakban az alábbi információ jelenik meg: Az alábbi összesítés a tanulóhoz tartozó összes vezetési kartonon lévő vezetési órák adatait tartalmazza. 
Az információs sáv alatt egy táblázatban az összes vezetési óra jelenik meg az alábbi bontásban:
Vezetési órák, Vezetett perc, Vezetett km. 
A táblázat alatt az Összes vezetett km jelenik meg. 
";;;
;;;"15";"Vezetési órák összesen ablakban a bezárás gombra kattintás.
";"A Vezetési órák összesen ablak bezáródik. 
";;;
;;;"16";"Vezetési órák fülre kattintás. 
";"Az oldal a Vezetési órák oldalt megjeleníti. Az oldalon két blokk jelenik meg Kartonon lévő órák összesítése és az összesítésben érintett tételek felsorolása. A felsorolásban az alábbi adatok jelennek meg: Ideje, Jelleg, Vezetett perc, Km, Rendszám, Szakoktató neve, Állapot. 
A kartonon lévő órák összesítése blokkban egy táblázat látható. A táblázatban az összes vezetési óra jelenik meg az alábbi bontásban:
Vezetési órák, Vezetett perc, Vezetett km. 
A táblázat alatt az Összes vezetett km jelenik meg. 
";;;
"125448";"Test Case";"Véglegesítendő vezetési órák módosítása, véglegesítése, törlése- GYKO-001";;;;"Pallasz 2.0\Külsős tesztelői csapat";"Farkas Anna <RCINET\farkasan>";"Design"
;;;"1";"Előfeltételek:
";"
";;;
"116818";"Shared Steps";;"2";"Login (szakoktató) - Gyakorlati óra rögzítése";;;;
;;;"2_1";"A https://tesztekapu.pallasz.hu/ oldal megnyitása (környezetfüggő URL).
";"Megnyílik a KAV oldala, ahol az alábbi ágazatokból és kategóriákból van lehetőség választani:
Közúti vizsgáztatás:
- Jelentkezés kategóriás képzésre
- Szaktanfolyami okmánycsere
- Közúti járművezetők utánképzése
Légügy:
- Légügyi okmánycsere
Pályaalkalmassági vizsgálat:
- PÁV ügyintézés
Szakoktatók és szakoktató jelöltek:
- Vizsgajelentő leadása
- Hospitálás és tanítási órák lejelentése
Képző szervek (Autósiskolák)
";;;
;;;"2_2";"Szakoktatók bejelentkező oldal megnyitása a Vizsgajelentő leadása (gomb megnyomása)
";"Megnyílik a ""Szakoktatói bejelentkezés"" oldal, felhasználónév és jelszó megadható.
";;;
;;;"2_3";"Bejelentkezés megfelelő jogosultságú felhasználóval a https://tesztekapuauth.pallasz.hu/szakoktato címre (környezetfüggő URL).
A szakoktató regisztrációját vezető ügyintéző szerepkörű felhasználó végzi. A regisztráció megerősítéséről és a jelszó megváltoztatásáról e-mail üzenetet küld a rendszer. Ezekkel az adatokkal lehet bejelentkezni a rendszerbe szakoktatónként.
";"Felhasználónév és jelszó megadását követően megjelenik az oldalon a kétlépcsős hitelesítés.
";;;
;;;"2_4";"Hitelesítő kód megadása és belépés a rendszerbe
";"Megnyílik a https://tesztekapuauth.pallasz.hu/Szakoktato (oldal, megjelennek a Rendszerüzenetek.
Bejelentkezést követően a szerepkörnek (szakoktató) megfelelő menüpontok és szolgáltatások jelennek meg, és érhetők el.
";;;
;;;"2_5";"Gyakorlati óra rögzítése menüpont kiválasztása
";"Megnyílik a Szakoktato/GyakorlatiOra#!Jovobeli oldal Jövőbeli vezetési órák, Véglegesítendő vezetési órák és Törölt vezetési órák fülekkel, egy szűrőfelület (Tanuló neve, Karton azonosító, Kezdete, Ágazat, Kategória és Képző szerv szerint), valamint az ennek megfelelő találati lista. A lista alatt elérhető a Vezetési óra rögzítése gomb.
";;;
;;;"3";"Véglegesítendő vezetési órák fülre kattintás.";"Megnyílik a Szakoktato/GyakorlatiOra#!Jovobeli-Veglegesitendo oldal, egy szűrőfelület, valamint az ennek megfelelő találati lista. A lista alatt elérhető a Vezetési óra rögzítése gomb.

A szűrőfelületen megadhatók az alábbi adatok:  
- Tanuló neve
- Karton azonosító
- Képző szerv
Képző szerv mező esetén a betöltött paraméterekből lehet választani.

A blokk alján található Szűrő feltételek törlése gombbal törölhetők a beállított adatok. ";;;
;;;"4";"Szűrő helyes kitöltése, majd a Szűrés gomb megnyomása.
";"Szűrés után a rendszer a Szakoktato/GyakorlatiOra#Jovobeli-Jovobeli-Veglegesitendo oldalon maradva kilistázza a szűrésnek megfelelő vezetési órákat Időpont, Képző azonosító, Karton azonosító és Tanuló neve szerint. 
A vezetési órák sorában megjelennek a Szerkesztés gombok.";;;
;;;"5";"Módosítani, véglegesíteni kívánt vezetési óra sorában lévő Szerkesztés gombra kattintás.
";"A megnyitott oldalon megjelenik a Szerkesztés blokk, amelyben módosíthatók az alábbi adatok:

-Kezdete - vége*
-Vezetett idő (a rendszer automatikusan tölti ki, nem kattintható)
-Vezetés jellege*
- Jármű rendszáma*
-Kilóméteróra-állás tól-ig*
- Vezetett km*

A kötelező mezők kiöltését a rendszer kikényszeríti. A Vezetés jellege és a Jármű rendszáma mezőknél a betöltött paraméterekből lehet választani.
A mezők kitölthetők, hiány, vagy formai eltérés esetén egyértelmű hibát jelez az oldal.
A blokk alján megtalálhatók a piros Törlés, a Bezárás és a Zöld Véglegesítés gombok.
";;;
;;;"6";"Véglegesítés gombra kattintás.";"A megnyitott oldalon megjelenik az alábbi kérdés: ""Biztosan véglegesíti a vezetési órát?"". A blokk alján megjelenő Nem és Igen gombokkal lehet válaszolni a kérdésre.";;;
;;;"7";"Igen gombra kattintás.";"Az Igen gomb aktív és kattintható. Kattintást követően az oldal jobb felső sarkában megjelenik a ""A művelet sikeresen végrehajtódott."" üzenet.
A rendszer a Szakoktato/GyakorlatiOra#!Jovobeli-Veglegesitendo oldalra navigál. 
Szűrés után az előző lépések által véglegesített vezetési óra újabb szűrés után már nem fog a találati listában megjelenni.
";;;
